City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,281.91,59,98,15.22,NZ,1691256323
1,pundong,-7.9522,110.3486,296.1,89,6,2.09,ID,1691256323
2,shitanjing,39.2342,106.3439,300.49,33,81,0.4,CN,1691256323
3,kita,13.0349,-9.4895,305.76,50,91,1.95,ML,1691256324
4,port lincoln,-34.7333,135.8667,283.96,64,79,2.34,AU,1691256324
5,pangody,65.85,74.4859,292.95,47,56,2.0,RU,1691256324
6,tongouson,5.0214,120.1328,301.58,77,51,3.71,PH,1691256325
7,fort st. john,56.2499,-120.8529,291.09,68,20,1.54,CA,1691256325
8,freetown,8.484,-13.2299,299.83,82,64,3.68,SL,1691256325
9,solwezi,-12.1688,26.3894,290.66,38,0,1.86,ZM,1691256325
10,mount pearl,47.5166,-52.7813,292.44,72,75,6.17,CA,1691256326
11,port-aux-francais,-49.35,70.2167,275.47,72,100,14.43,TF,1691256326
12,hamilton,39.1834,-84.5333,304.23,63,0,3.6,US,1691256326
13,zainsk,55.3195,52.0694,298.7,66,70,1.66,RU,1691256326
14,suva,-18.1416,178.4415,293.86,94,100,0.0,FJ,1691256327
15,afaahiti,-17.75,-149.2833,295.08,75,11,1.71,PF,1691256327
16,kirakira,-10.4544,161.9205,297.1,90,100,3.72,SB,1691256317
17,remire-montjoly,4.9167,-52.2667,305.17,66,75,5.14,GF,1691256328
18,ushuaia,-54.8,-68.3,276.96,87,75,2.57,AR,1691256328
19,codrington,-38.2667,141.9667,283.76,73,97,1.84,AU,1691256328
20,kargasok,59.0556,80.8572,287.92,61,0,2.71,RU,1691256328
21,beau vallon,-20.4189,57.6953,296.05,78,75,7.2,MU,1691256173
22,zhezqazghan,47.7833,67.7667,301.94,31,100,5.79,KZ,1691256329
23,ostersund,63.1792,14.6357,289.05,67,75,1.54,SE,1691256329
24,bni bouayach,35.1022,-3.841,305.46,43,0,4.12,MA,1691256329
25,adamstown,-25.066,-130.1015,291.58,57,7,4.28,PN,1691256330
26,warmbad,-28.45,18.7333,294.39,17,1,2.26,NA,1691256082
27,iqaluit,63.7506,-68.5145,283.0,81,20,2.06,CA,1691256330
28,saint-francois,46.4154,3.9054,291.84,59,100,4.12,FR,1691256331
29,tsiombe,-25.3,45.4833,292.84,61,0,7.55,MG,1691256331
30,college,64.8569,-147.8028,292.54,74,40,2.57,US,1691256331
31,utrik,11.2278,169.8474,301.54,67,100,8.59,MH,1691256331
32,thunder bay,48.4001,-89.3168,297.1,46,100,2.57,CA,1691256310
33,lucheng,31.2336,117.2806,302.69,77,66,1.31,CN,1691256332
34,andergrove,-21.0833,149.1833,291.09,84,2,6.47,AU,1691256333
35,ulladulla,-35.35,150.4667,286.12,71,100,4.75,AU,1691256333
36,puerto natales,-51.7236,-72.4875,278.99,83,96,8.64,CL,1691256333
37,isafjordur,66.0755,-23.124,285.17,66,20,2.57,IS,1691256334
38,edinburgh of the seven seas,-37.0676,-12.3116,286.48,78,10,15.31,SH,1691256334
39,ilulissat,69.2167,-51.1,282.16,71,20,2.57,GL,1691256334
40,tolanaro,-25.0319,46.9987,294.19,64,40,6.17,MG,1691256334
41,grytviken,-54.2811,-36.5092,268.7,82,87,5.24,GS,1691256335
42,fort bragg,35.139,-79.006,305.27,59,0,3.6,US,1691256335
43,wenchang,30.904,118.4887,300.37,83,3,1.14,CN,1691256335
44,kalmunai,7.4167,81.8167,300.86,81,73,3.7,LK,1691256335
45,camayenne,9.535,-13.6878,302.2,79,40,5.14,GN,1691256336
46,tiksi,71.6872,128.8694,275.25,83,100,3.91,RU,1691256336
47,invercargill,-46.4,168.35,279.27,89,83,1.79,NZ,1691256336
48,tura,25.5198,90.2201,297.4,98,100,2.72,IN,1691256337
49,talnakh,69.4865,88.3972,288.82,52,7,1.04,RU,1691256050
50,albany,42.6001,-73.9662,299.91,64,9,0.89,US,1691256228
51,vila franca do campo,37.7167,-25.4333,295.38,68,100,3.08,PT,1691256337
52,buy,58.4786,41.53,293.43,75,18,1.94,RU,1691256338
53,polyarnyy,69.1989,33.4478,284.2,94,100,6.97,RU,1691256338
54,inongo,-1.95,18.2667,298.63,53,13,2.26,CD,1691256338
